"pater, patris, m.",7,father; senator,,
"patior, patī, passus sum",22,"to suffer, allow",,
"patria, patriae, f.",9,"country, fatherland",,
"paucī, paucae, pauca",13,few,,
"paulus, paula, paulum",32,"little, small",,
"pāx, pācis, f.",7,peace,,
"pectus, pectoris, n.",15,"breast, chest; heart",,
"pecūnia, pecūniae, f.",1,"money, property",,
per (+ acc.),10,"through, along; because of; by (in oaths and prayers)",,
"pereō, perīre, periī (or -īvī) peritūrus",23,"to perish, die",,
"perīculum, perīculī, n.",15,danger,,
"perītus, perīta, perītum",29,"experienced, skillful",,
"persuādeō, peresuādēre, persuāsī, persuāsus (+ dat.)",17,to persuade,,
"pēs, pedis, m.",12,foot,,
"petō, petere, petīvī or petiī, petītus",9,"to seek, go after; ask; attack",,
"philosophia, philosophiae, f.",27,philosophy,,
"placeō, placēre, placuī, placitūrus (+ dat.)",7,"to please, be pleasing to",,
"plēnus, plēna, plēnum (+gen. or abl.)",8,"full (of), filled (with)",,
"plūs, plūris, n. (often + gen.)",21,more,,
"poena, poenae, f.",26,penalty,,
poenam dō,26,to pay the penalty,,
"poēta, poētae, m.",9,poet,,
"pōnō, pōnere, posuī, positus",13,"to put, place",,
"pons, pontis, m. ",25,bridge,,
"pontus, pontī, m.",3,"sea, ocean",,
"populus, populī, m.",6,"the people, a people, nation",,
"portō, portāre, portāvī, portātus",3,"to carry, bring",,
"possum, posse, potuī, —",7,"to be able, can",,
post (+ acc.),4,"after, behind",,
posteā,26,afterwards,,
postquam,12,"after, when",,
"postulō, postulāre, postulāvī, postulātus",20,"to demand, claim; prosecute",,
"potēns, potentis",10,powerful; able,,
"potior, potīrī, potītus sum (+ abl.)",22,"to get hold of, acquire",,
"pōtus, pōtūs, m.",22,drink,,
"praebeō, praebēre, praebuī, praebitus",9,"to show; offer, provide",,
prīmō,32,at first,,
prīmum,30,"first, in the first place, for the first time",,
"prīmus, prīma, prīmum",5,first,,
"prīnceps, prīncipis, m.",17,"leader, chief; first citizen, emperor",,
prius,30,"before, sooner",,
prō (+ abl.),4,in front of; on behalf of; instead of,,
"probō, probāre, probāvī, probātus",29,"to approve (of); prove, show",,
"proelium, proeliī, n.",15,battle,,
"proficīscor, proficīscī, profectus sum",22,"to set out, depart",,
"prohibeō, prohibēre, prohibuī, prohibitus",15,"to prohibit, keep from; keep someone (acc.) from something (abl.)",,
"propinquus, propinqua, propinquum",22,"near (to), neighboring; near, not far off [of time]",,
"propinquus, propinquī, m.",22,"relative, kinsman",,
propter (+ acc.),6,"because of, on account of",,
"prōvincia, prōvinciae, f.",15,province,,
"puella, puellae, f.",2,girl,,
